번호,정책유형,정책명,정책 요약,주관기관
136,일자리,제대군인 직업능력 개발훈련,전역 예정자의 직업능력 개발훈련 지원 사업,국가보훈부
137,일자리,제대군인 직업능력개발교육비 지원,제대군인 및 전역예정자를 대상으로 개인의 전직목표와 적성에 맞는 맞춤식 전문교육을 통해 취업에 직접적으로 필요한 교육훈련과정 지원 사업,국가보훈부
138,교육,제대군인 사이버교육,- 제대군인 특성에 맞는 시장 친화적이며 취창업과 연계한 차별화된 직업교육 확대 - 시간과 장소 제약 없이 다양한 교육과정을 제공함으로써 직업능력 역량을 제고하여 성공적인 사회복귀지원,국가보훈부
139,일자리,제대군인지원센터,"제대(예정) 군인의 사회정착 지원을 위해 직업능력개발, 취창업, 교육, 멘토링 등의 구직활동 지원",국가보훈부
140,복지.문화,국군 휴가보상 제도,"휴가 중 독립기념관 방문 관람(방문 확인) 하면, 추후 휴가 시 1일의 휴가를 보상",국가보훈부
141,일자리,제대군인 전직지원금,"전역후 6개월 이내 실업상태의 군인연금비대상 장기복무제대군인의 취, 창업 촉진을 위한 전직지원금 지원",국가보훈부
142,일자리,병 자기개발비용 지원,군 복무 중 자기개발 기회를 확대하고자 자기개발에 소요된 비용의 80%(연간 12만 원 한도)를 지원해주는 제도,국방부
143,일자리,중.장기복무제대군인 무료법률구조지원,"국토방위의 임무를 성실히 수행하고 전역 후 사회에 적응하는 과정에서 경제적으로 어렵거나, 법을 모르기 때문에 법의 보호를 충분히 받지 못하는 중·장기복무제대군인에 대해 소송비용 등을 국가가 부담하여 대한법률구조공단에서 지원을 받도록 하는 제도",국가보훈부
144,교육,해운항만물류 전문인력 양성(산학연계 인턴십),대학생의 국내외 해운물류분야 기업 인턴십 지원을 통한 취업률 제고,해양수산부
145,참여.권리,KF 글로벌 챌린저,"대한민국 차세대 인재들이 해외 유수 정책연구소, 박물관, 도서관, 국제기구/국제NGO 등에서의 실무 경험 기회",한국국제교류재단
146,참여.권리,생물다양성 시민과학자 양성,생물다양성 이해와 보전관리 정책 실현을 위해 청년 시민과학자 양성,환경부
147,참여.권리,탄소중립 청년 서포터즈,청년들의 창의성과 대중과의 소통 능력을 활용하여 정부와 국민 사이의 접점 역할 기대,환경부
148,교육,환경분야 특성화고 인력양성,환경산업 현장과 연계한 특성화고 환경계열학과 교육지원으로 현장 맞춤형 실무인력 양성 및 취업연계지원을 통한 양질의 환경계열 고졸 일자리 확보,환경부
149,교육,녹색 융합기술 인재 양성,"미래의 환경분야 인재를 기업, 대학, 정부가 함께 본격 육성",환경부
150,일자리,에코스타트업 지원사업,"녹색산업 분야 유망 창업아이템을 보유한 예비창업자 및 창업기업을 발굴하고 아이디어 및 기술의 구체화, 구도화를 위한 창업 성장 지원",환경부
151,일자리,환경분야 청년창업 생태계 구축(환경창업대전),대국민 참여형 공모를 통한 유망 환경창업자 발굴 및 육성,환경부
152,참여.권리,KF 한베청년교류,"한국과 베트남 양국간의 상호 이해와 우호 증진, 미래지향적 관계 구축을 위해 베트남 내무부와 공동으로 한베청년교류사업 개최",한국국제교류재단
153,일자리,고교생 맞춤형 고용서비스,"대학의 우수 인프라를 활용하여 취업을 희망하는 고교 재학생을 대상으로 진로 설계, 희망직업 포트폴리오 작성 및 취업활동계획 수립 지원, 직업훈련·일경험 연계 등 맞춤형 고용서비스를 제공하여 졸업 후 원활한 노동시장 진입 촉진",고용노동부
154,일자리,직장적응 지원,산업단지 입주기업 등의 CEO‧중간관리자‧인사담당자 대상 청년친화 조직문화 교육‧컨설팅 및 신입직원 대상 직장적응 지원 프로그램(on-borarding)을 제공합니다.,고용노동부
155,참여.권리,청년 유네스코 세계유산 지킴이,청년의 창의적 국가유산보호 활동 지원으로 글로벌 미래문화인재 육성,교육활용과
156,일자리,2025년 국가유산 산업 인턴 지원 사업,국가유산 산업 분야 취업 준비 청년들의 현장 실무역량을 강화하여 취업을 위한 경력 지원 및 국가유산 산업확장 도모,국가유산진흥원
157,일자리,2025년 매장유산 미정리유물 보존 및 활용사업,대학박물관 내 미정리 유물 일제 등록 지원 및 활용을 통한 유물의 안전한 보관 관리 및 청년일자리 제공,청장
158,복지.문화,폭력피해자 주거지원,"가정폭력/성폭력 등 폭력피해자들의 자립을 지원하고 사회 적응 여건을 조성하고자, 폭력 피해자와 그 가족들이 공동으로 생활할 수 있는 주거공간을 제공",여성가족부
159,참여.권리,2024년 5차 연세원주창업보육센터 입주기업 모집 공고,연세원주창업보육센터 입주기업 모집을 아래와 같이 공고하오니 많은 신청 바랍니다.,중소벤처기업부
160,주거,2025년 한국장학재단 창업기숙사 입주생 모집 안내,"한국장학재단 창업기숙사 5개 권역(서울, 부산, 대구, 광주, 대전)에서 2025년 입주생을 모집합니다. 창업기숙사는 기술창업, 사회문제해결형 기업(소셜벤처) 등 다양한 유형의 창업을 준비하는 대학(원)생들이 시간, 공간에 구애받지 않고 창업에 전념할 수 있는 양질의 주거환경을 무상으로 지원하기 위해 만들어진 공간입니다. 창업에 관심이 있거나 창업을 준비 중인 대학(원)생 여러분들의 많은 지원 바랍니다.",한국장학재단
161,참여.권리,"2024년 경기창업혁신공간 북동부권(구리) 신규 입주기업 모집(~12/05, 연장모집)",경기도경제과학진흥원은 경기 북동부권역 내 예비창업자 및 초기 창업기업을 대상으로 업무공간 및 기술.경영 지원을 통하여 우수 벤처기업을 육성하고자 신규 입주기업을 모집하오니 많은 관심과 신청 바랍니다.,-
162,참여.권리,동대문구 DDM 청년창업센터 유니콘 '스타트업 홈커밍(Beyond 2024 )' 참가 안내,"2024년도 DDM 스타트업 홈커밍(Beyond 2024)에 초대합니다. 한 해를 돌아보며, 더 나은 2025년을 위해 스타트업 및 창업지원기관 임직원 간 네트워킹을 할 수 있는 시간을 마련하였습니다. DDM 청년창업센터 유니콘과 함께할 마지막 기회를 놓치지 마세요.",-
163,참여.권리,[NH오픈비즈니스허브] 오픈이노베이션 운영사업,NH농협은행의 오픈이노베이션 프로그램인 [NH오픈비즈니스허브] 운영사업자 모집계획을 다음과 같이 공고하오니 참여를 희망하는 관련 기관은 안내에 따라 신청하시기 바랍니다.,-
164,참여.권리,제2기 통일부 2030자문단 모집 공고,"통일부는 통일 정책 수립·확산·평가 과정에 청년의 참여를 확대하기 위하여 ｢통일부 제2기 2030자문단｣을 아래와 같이 공개 모집하오니, 많은 참여바랍니다.",통일부
165,참여.권리,제2기 법무부 「2030 자문단」 공개모집 공고,법무부 정책 전반에 대해 청년세대의 인식을 전하는 핵심 창구 역할을 수행할 제2기 2030 자문단 단원을 공개 모집하오니 많은 참여 바랍니다.,법무부
166,복지.문화,2024년 2학기 고졸 후학습자 장학사업(희망사다리 Ⅱ유형) 신규장학생 2차 모집,2024년 2학기 고졸 후학습자 장학사업(희망사다리 Ⅱ유형) 신규장학생 2차 모집,한국장학재단
167,복지.문화,산모·신생아 건강관리 지원사업,출산가정에 건강관리사를 파견하여 산후관리를 지원함으로써 산모와 신생아의 건강을 증진하고 출산가정의 경제적 부담을 경감합니다.,사회서비스사업과
168,복지.문화,상병수당 시범사업,근로자가 업무 외 질병·부상으로 경제활동이 어려운 경우 치료에 집중할 수 있도록 소득을 보전합니다.,건강보험정책국
169,교육,부산 기장군 국비 무료교육 교육생 모집 (웹디자인기능사),전액 100% 국비무료교육 교육생 모집,고용노동부
170,참여.권리,<중소기업 키다리아저씨> 삼프로TV 현장 강연,"중소기업중앙회에서는 <중소기업 키다리아저씨 사업>의 일환으로""국가대표 경제 전문가, 삼프로TV 현장 강연""의 참석자를 모집합니다. 많은 관심과 참여 부탁드립니다.",-
171,복지.문화,2025년 소외계층구독료지원 사업 신문 및 잡지 구독자 모집 공고,신문 무료구독 지원 사업안내,한국언론진흥재단
172,복지.문화,지역사회서비스 투자사업,지역의 특성과 수요에 부합하는 사회서비스를 제공하여 지역복지를 확충하고 서비스 제공 일자리를 창출할 수 있도록 지원합니다.,사회서비스사업과
173,복지.문화,청소년산모 임신·출산 의료비 지원,청소년산모에게 임신 및 출산에 필요한 의료비를 지원하여 청소년산모와 태아의 건강증진을 돕습니다.,출산정책과
174,일자리,2024년 소공인 스마트 역량강화 교육생 모집공고,"산업전반에 걸친 디지털기반 경제로의 본격 전환속에서 소공인 대상 스마트화 도입 필요성 및 사례, 제조 생태계의 산업안전 등에 대한 맞춤형 교육 제공",한국정책재단
175,주거,24년 3차 서울지역본부 청년 매입임대주택 예비입주자 모집공고,토지주택공사에서 매입한 주택을 무주택 미혼 청년에게 시중 시세 40~50% 수준 임대주택 제공,한국토지주택공사
176,주거,2024년 HUG 든든전세주택 3차 모집,HUG가 전세보증금을 대신 갚아준 주택을 직접 낙찰받아 주변 시세보다 저렴하게 임대공급하는 사업,주택도시보증공사
177,복지.문화,저소득층 기저귀·조제분유 지원,저소득층 영아(0~24개월) 가정의 육아 필수재인 기저귀 및 조제분유 지원을 통해 경제적 부담 경감 및 아이 낳기 좋은 환경 조성,보건복지부
178,교육,함께 만드는 청렴이야기 국민권익위원회 2030 청렴인재 아카데미,"청렴연수원에서는 2030 대학(원)생, 졸업생, 취업준비생 (만 19세 이상 34세 미만)을 대상으로 교육과정을 운영하고자 합니다.",국민권익위원회
179,교육,2024 차세대 해양정책리더 양성 아카데미 참가자 모집,"해양정책의 중요성에 대한 이해를 높이고 해양 전반에 대한 관심을 확산하기 위해 해양수산부, 한국해양재단, 연세대학교가 주최·주관하는 차세대 해양정책리더 양성 아카데미를 다음과 같이 실시합니다. 대학(원)생 여러분의 많은 관심과 참여 바랍니다.",해양수산부
